
,Session Name: 10-10-2017, 11-46 AM - CCDS
,Date Created: 10/10/17, 9:47:06 AM,Active Participants: 13 of 13
,Average Score: 0.00%,Questions: 18
________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,46%,6
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,54%,7
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,13
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,23%,3
,45� to 59,31%,4
,60� to 74,38%,5
,75�years and older,8%,1
,Totals,100%,13
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,70%,7,,,,
,Male,30%,3
,Transgender,0%,0
,Totals,100%,10
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,50%,6,,,,
,Black or African American, non-Hispanic,42%,5
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,8%,1
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,12
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,54%,7,,,,
,District 2 - James Holmes,15%,2
,District 3 - Bobby Lockett,15%,2
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,8%,1
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,8%,1
,Outside Chatham County,0%,0
,Totals,100%,13
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,0%,0
,Some college, no degree,0%,0
,Associate's Degree,8%,1
,Bachelor's Degree,38%,5
,Graduate or Professional Degree,54%,7
,Totals,100%,13
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,82%,9,,,,
,1,9%,1
,2,0%,0
,3,9%,1
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,11
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,8%,1,,,,
,Somewhat familiar,23%,3
,Familiar,23%,3
,Not Familiar,46%,6
,Totals,100%,13
,9. In your opinion, which priority area do you feel the community has made the biggest impact? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,23%,48,,,,
,Education,15%,31
,Health,40%,84
,Quality of Life,22%,45
,Totals,100%,208
,10. Which area could we consider making future improvements? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,50%,6,,,,
,Education,17%,2
,Health,17%,2
,Quality of Life,17%,2
,Totals,100%,12
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,23%,3,,,,
,Income per Capita,15%,2
,People Living Below Poverty Level,23%,3
,Severe Housing Problems,38%,5
,Totals,100%,13
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,8%,1,,,,
,Reading on Grade Level,46%,6
,Student to Teacher Ratio,15%,2
,School Discipline,31%,4
,Totals,100%,13
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,15%,2,,,,
,Children with Health Insurance,8%,1
,Food Insecurity Rate,46%,6
,Poor Mental Health Days,15%,2
,Access to Exercise Opportunities,15%,2
,Totals,100%,13
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,38%,5,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,8%,1
,Recidivism Rate of Adults Offenders,23%,3
,Recidivism Rate of Juvenile Offenders,31%,4
,Totals,100%,13
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,15%,2,,,,
,Income per Capita,46%,6
,People Living Below Poverty Level,31%,4
,Severe Housing Problems,8%,1
,Totals,100%,13
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,42%,5,,,,
,Reading on Grade Level,33%,4
,Student to Teacher Ratio,25%,3
,School Discipline,0%,0
,Totals,100%,12
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,38%,5,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,23%,3
,Poor Mental Health Days,15%,2
,Access to Exercise Opportunities,23%,3
,Totals,100%,13
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,25%,3,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,17%,2
,Recidivism Rate of Adults Offenders,17%,2
,Recidivism Rate of Juvenile Offenders,42%,5
,Totals,100%,12
