
,Session Name: 10-14-2017, 12-17 PM FINAL Haven Elem
,Date Created: 10/14/17, 11:17:45 AM,Active Participants: 29 of 29
,Average Score: 0.00%,Questions: 20
__________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,4%,1
,Port Wentworth,0%,0
,Savannah,93%,25
,Thunderbolt,4%,1
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,27
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,4%,1,,,,
,20� to� 29,7%,2
,30� to�44,19%,5
,45� to 59,37%,10
,60� to 74,30%,8
,75�years and older,4%,1
,Totals,100%,27
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,79%,22,,,,
,Male,21%,6
,Transgender,0%,0
,Totals,100%,28
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,4%,1,,,,
,Black or African American, non-Hispanic,82%,23
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,4%,1
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,11%,3
,Totals,100%,28
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,4%,1,,,,
,District 2 - James Holmes,24%,6
,District 3 - Bobby Lockett,12%,3
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,28%,7
,District 6 – Jay Jones,20%,5
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,12%,3
,Outside Chatham County,0%,0
,Totals,100%,25
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,4%,1,,,,
,High school or GED,36%,10
,Some college, no degree,25%,7
,Associate's Degree,4%,1
,Bachelor's Degree,25%,7
,Graduate or Professional Degree,7%,2
,Totals,100%,28
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,63%,17,,,,
,1,4%,1
,2,11%,3
,3,11%,3
,4,4%,1
,5,4%,1
,6,0%,0
,7,0%,0
,8,0%,0
,9+,4%,1
,Totals,100%,27
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,8%,2,,,,
,Somewhat familiar,4%,1
,Familiar,8%,2
,Not Familiar,80%,20
,Totals,100%,25
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,9%,35,,,,
,Education,20%,75
,Health,23%,85
,Quality of Life,8%,30
,Not aware of Any,39%,145
,Totals,100%,370
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,31%,8,,,,
,Education,27%,7
,Health,15%,4
,Quality of Life,27%,7
,Totals,100%,26
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,35%,9,,,,
,Income per Capita,0%,0
,People Living Below Poverty Level,42%,11
,Severe Housing Problems,23%,6
,Totals,100%,26
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,19%,5,,,,
,Reading on Grade Level,33%,9
,Student to Teacher Ratio,7%,2
,School Discipline,41%,11
,Totals,100%,27
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,30%,8,,,,
,Children with Health Insurance,4%,1
,Food Insecurity Rate,33%,9
,Poor Mental Health Days,22%,6
,Access to Exercise Opportunities,11%,3
,Totals,100%,27
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,70%,19,,,,
,Workers Commuting by Public Transit,7%,2
,Miles of Safe, Pedestrian Friendly Transportation,4%,1
,Recidivism Rate of Adults Offenders,4%,1
,Recidivism Rate of Juvenile Offenders,15%,4
,Totals,100%,27
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,24%,6,,,,
,Income per Capita,20%,5
,People Living Below Poverty Level,44%,11
,Severe Housing Problems,12%,3
,Totals,100%,25
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,19%,5,,,,
,Reading on Grade Level,30%,8
,Student to Teacher Ratio,30%,8
,School Discipline,22%,6
,Totals,100%,27
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,16%,4,,,,
,Children with Health Insurance,12%,3
,Food Insecurity Rate,52%,13
,Poor Mental Health Days,12%,3
,Access to Exercise Opportunities,8%,2
,Totals,100%,25
,18. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,100%,1,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,0%,0
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,0%,0
,Totals,100%,1
,19. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,11%,3,,,,
,Children with Health Insurance,4%,1
,Food Insecurity Rate,70%,19
,Poor Mental Health Days,11%,3
,Access to Exercise Opportunities,4%,1
,Totals,100%,27
,20. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,46%,12,,,,
,Workers Commuting by Public Transit,8%,2
,Miles of Safe, Pedestrian Friendly Transportation,8%,2
,Recidivism Rate of Adults Offenders,8%,2
,Recidivism Rate of Juvenile Offenders,31%,8
,Totals,100%,26
