
,Session Name: 10-16-2017, 7-45 PM - FINAL Thunderbolt
,Date Created: 10/16/17, 5:42:16 PM,Active Participants: 31 of 31
,Average Score: 0.00%,Questions: 18
____________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,18%,5
,Thunderbolt,82%,23
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,28
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,7%,2
,45� to 59,24%,7
,60� to 74,62%,18
,75�years and older,7%,2
,Totals,100%,29
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,69%,20,,,,
,Male,31%,9
,Transgender,0%,0
,Totals,100%,29
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,75%,21,,,,
,Black or African American, non-Hispanic,18%,5
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,4%,1
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,4%,1
,Totals,100%,28
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,97%,28
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,3%,1
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,29
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,11%,3
,Some college, no degree,36%,10
,Associate's Degree,0%,0
,Bachelor's Degree,11%,3
,Graduate or Professional Degree,43%,12
,Totals,100%,28
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,86%,24,,,,
,1,7%,2
,2,0%,0
,3,4%,1
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,4%,1
,Totals,100%,28
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,13%,4,,,,
,Somewhat familiar,13%,4
,Familiar,10%,3
,Not Familiar,65%,20
,Totals,100%,31
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,28%,115,,,,
,Education,7%,30
,Health,17%,70
,Quality of Life,12%,50
,Not aware of Any,35%,140
,Totals,100%,405
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,26%,8,,,,
,Education,35%,11
,Health,3%,1
,Quality of Life,35%,11
,Totals,100%,31
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,29%,9,,,,
,Income per Capita,19%,6
,People Living Below Poverty Level,39%,12
,Severe Housing Problems,13%,4
,Totals,100%,31
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,6%,2,,,,
,Reading on Grade Level,29%,9
,Student to Teacher Ratio,23%,7
,School Discipline,42%,13
,Totals,100%,31
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,28%,8,,,,
,Children with Health Insurance,21%,6
,Food Insecurity Rate,38%,11
,Poor Mental Health Days,3%,1
,Access to Exercise Opportunities,10%,3
,Totals,100%,29
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,81%,25,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,3%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,16%,5
,Totals,100%,31
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,38%,11,,,,
,Income per Capita,28%,8
,People Living Below Poverty Level,31%,9
,Severe Housing Problems,3%,1
,Totals,100%,29
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,6%,2,,,,
,Reading on Grade Level,35%,11
,Student to Teacher Ratio,13%,4
,School Discipline,45%,14
,Totals,100%,31
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,30%,9,,,,
,Children with Health Insurance,10%,3
,Food Insecurity Rate,47%,14
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,13%,4
,Totals,100%,30
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,74%,23,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,3%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,23%,7
,Totals,100%,31
