
,Session Name: 10-17-2017, 11-45 AM - DFCS FINAL
,Date Created: 10/17/17, 9:57:55 AM,Active Participants: 7 of 7
,Average Score: 0.00%,Questions: 18
______________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,50%,3
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,50%,3
,Totals,100%,6
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,50%,3
,45� to 59,33%,2
,60� to 74,17%,1
,75�years and older,0%,0
,Totals,100%,6
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,83%,5,,,,
,Male,17%,1
,Transgender,0%,0
,Totals,100%,6
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,33%,2,,,,
,Black or African American, non-Hispanic,67%,4
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,6
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,17%,1
,District 3 - Bobby Lockett,17%,1
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,17%,1
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,50%,3
,Totals,100%,6
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,17%,1
,Some college, no degree,0%,0
,Associate's Degree,0%,0
,Bachelor's Degree,33%,2
,Graduate or Professional Degree,50%,3
,Totals,100%,6
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,33%,2,,,,
,1,33%,2
,2,33%,2
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,6
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,17%,1,,,,
,Somewhat familiar,67%,4
,Familiar,0%,0
,Not Familiar,17%,1
,Totals,100%,6
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,29%,25,,,,
,Education,12%,10
,Health,12%,10
,Quality of Life,41%,35
,Not aware of Any,6%,5
,Totals,100%,85
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,17%,1,,,,
,Education,50%,3
,Health,0%,0
,Quality of Life,33%,2
,Totals,100%,6
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,33%,2,,,,
,Income per Capita,0%,0
,People Living Below Poverty Level,33%,2
,Severe Housing Problems,33%,2
,Totals,100%,6
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,0%,0,,,,
,Reading on Grade Level,50%,3
,Student to Teacher Ratio,33%,2
,School Discipline,17%,1
,Totals,100%,6
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,17%,1,,,,
,Children with Health Insurance,17%,1
,Food Insecurity Rate,67%,4
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,0%,0
,Totals,100%,6
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,17%,1,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,17%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,67%,4
,Totals,100%,6
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,43%,3,,,,
,Income per Capita,0%,0
,People Living Below Poverty Level,43%,3
,Severe Housing Problems,14%,1
,Totals,100%,7
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,14%,1,,,,
,Reading on Grade Level,71%,5
,Student to Teacher Ratio,14%,1
,School Discipline,0%,0
,Totals,100%,7
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,0%,0,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,86%,6
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,14%,1
,Totals,100%,7
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,43%,3,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,57%,4
,Totals,100%,7
