
,Session Name: 10-17-2017, 7-33 PM - FINAL Tybee
,Date Created: 10/17/17, 5:53:26 PM,Active Participants: 6 of 6
,Average Score: 0.00%,Questions: 18
______________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,17%,1
,Thunderbolt,0%,0
,Tybee,33%,2
,Unincorporated Chatham County,50%,3
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,6
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,17%,1
,45� to 59,17%,1
,60� to 74,67%,4
,75�years and older,0%,0
,Totals,100%,6
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,50%,3,,,,
,Male,50%,3
,Transgender,0%,0
,Totals,100%,6
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,100%,6,,,,
,Black or African American, non-Hispanic,0%,0
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,6
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,17%,1
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,83%,5
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,6
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,17%,1
,Some college, no degree,17%,1
,Associate's Degree,17%,1
,Bachelor's Degree,17%,1
,Graduate or Professional Degree,33%,2
,Totals,100%,6
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,100%,6,,,,
,1,0%,0
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,6
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,33%,2,,,,
,Somewhat familiar,17%,1
,Familiar,17%,1
,Not Familiar,33%,2
,Totals,100%,6
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,41%,35,,,,
,Education,12%,10
,Health,12%,10
,Quality of Life,24%,20
,Not aware of Any,12%,10
,Totals,100%,85
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,17%,1,,,,
,Education,67%,4
,Health,0%,0
,Quality of Life,17%,1
,Totals,100%,6
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,33%,2,,,,
,Income per Capita,0%,0
,People Living Below Poverty Level,33%,2
,Severe Housing Problems,33%,2
,Totals,100%,6
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,0%,0,,,,
,Reading on Grade Level,33%,2
,Student to Teacher Ratio,50%,3
,School Discipline,17%,1
,Totals,100%,6
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,0%,0,,,,
,Children with Health Insurance,33%,2
,Food Insecurity Rate,50%,3
,Poor Mental Health Days,17%,1
,Access to Exercise Opportunities,0%,0
,Totals,100%,6
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,67%,4,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,17%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,17%,1
,Totals,100%,6
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,50%,3,,,,
,Income per Capita,17%,1
,People Living Below Poverty Level,33%,2
,Severe Housing Problems,0%,0
,Totals,100%,6
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,17%,1,,,,
,Reading on Grade Level,50%,3
,Student to Teacher Ratio,17%,1
,School Discipline,17%,1
,Totals,100%,6
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,17%,1,,,,
,Children with Health Insurance,17%,1
,Food Insecurity Rate,0%,0
,Poor Mental Health Days,33%,2
,Access to Exercise Opportunities,33%,2
,Totals,100%,6
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,33%,2,,,,
,Workers Commuting by Public Transit,67%,4
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,0%,0
,Totals,100%,6
