
,Session Name: 10-22-2017, 5-38 PM - FINAL NAACP
,Date Created: 10/22/17, 3:43:43 PM,Active Participants: 32 of 32
,Average Score: 0.00%,Questions: 18
______________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,7%,2,,,,
,Garden City,3%,1
,Pooler,7%,2
,Port Wentworth,7%,2
,Savannah,57%,17
,Thunderbolt,7%,2
,Tybee,0%,0
,Unincorporated Chatham County,3%,1
,Vernonburg,0%,0
,Other,10%,3
,Totals,100%,30
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,3%,1,,,,
,20� to� 29,3%,1
,30� to�44,0%,0
,45� to 59,30%,9
,60� to 74,53%,16
,75�years and older,10%,3
,Totals,100%,30
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,55%,17,,,,
,Male,45%,14
,Transgender,0%,0
,Totals,100%,31
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,14%,4,,,,
,Black or African American, non-Hispanic,86%,25
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,29
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,14%,4,,,,
,District 2 - James Holmes,17%,5
,District 3 - Bobby Lockett,14%,4
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,14%,4
,District 6 – Jay Jones,17%,5
,District 7 - Dean Kicklighter,7%,2
,District 8 – Chester Ellis,10%,3
,Outside Chatham County,7%,2
,Totals,100%,29
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,3%,1,,,,
,High school or GED,0%,0
,Some college, no degree,17%,5
,Associate's Degree,3%,1
,Bachelor's Degree,38%,11
,Graduate or Professional Degree,38%,11
,Totals,100%,29
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,86%,24,,,,
,1,4%,1
,2,4%,1
,3,7%,2
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,28
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,10%,3,,,,
,Somewhat familiar,17%,5
,Familiar,21%,6
,Not Familiar,52%,15
,Totals,100%,29
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,39%,160,,,,
,Education,23%,95
,Health,15%,60
,Quality of Life,9%,35
,Not aware of Any,15%,60
,Totals,100%,410
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,29%,8,,,,
,Education,46%,13
,Health,7%,2
,Quality of Life,18%,5
,Totals,100%,28
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,45%,13,,,,
,Income per Capita,21%,6
,People Living Below Poverty Level,34%,10
,Severe Housing Problems,0%,0
,Totals,100%,29
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,6%,2,,,,
,Reading on Grade Level,55%,17
,Student to Teacher Ratio,29%,9
,School Discipline,10%,3
,Totals,100%,31
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,30%,9,,,,
,Children with Health Insurance,27%,8
,Food Insecurity Rate,37%,11
,Poor Mental Health Days,7%,2
,Access to Exercise Opportunities,0%,0
,Totals,100%,30
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,48%,15,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,6%,2
,Recidivism Rate of Adults Offenders,19%,6
,Recidivism Rate of Juvenile Offenders,26%,8
,Totals,100%,31
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,50%,14,,,,
,Income per Capita,14%,4
,People Living Below Poverty Level,32%,9
,Severe Housing Problems,4%,1
,Totals,100%,28
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,14%,4,,,,
,Reading on Grade Level,66%,19
,Student to Teacher Ratio,14%,4
,School Discipline,7%,2
,Totals,100%,29
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,36%,10,,,,
,Children with Health Insurance,32%,9
,Food Insecurity Rate,29%,8
,Poor Mental Health Days,4%,1
,Access to Exercise Opportunities,0%,0
,Totals,100%,28
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,52%,15,,,,
,Workers Commuting by Public Transit,3%,1
,Miles of Safe, Pedestrian Friendly Transportation,3%,1
,Recidivism Rate of Adults Offenders,17%,5
,Recidivism Rate of Juvenile Offenders,24%,7
,Totals,100%,29
