
,Session Name: 10-28-2017, 12-13 PM - Parent U FINAL
,Date Created: 10/28/17, 10:35:48 AM,Active Participants: 9 of 9
,Average Score: 0.00%,Questions: 18
__________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,78%,7
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,11%,1
,Vernonburg,0%,0
,Other,11%,1
,Totals,100%,9
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,11%,1
,30� to�44,33%,3
,45� to 59,44%,4
,60� to 74,11%,1
,75�years and older,0%,0
,Totals,100%,9
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,67%,6,,,,
,Male,33%,3
,Transgender,0%,0
,Totals,100%,9
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,22%,2,,,,
,Black or African American, non-Hispanic,56%,5
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,22%,2
,Totals,100%,9
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,22%,2
,District 3 - Bobby Lockett,44%,4
,District 4 - Patrick Farrell,11%,1
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,11%,1
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,11%,1
,Totals,100%,9
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,12%,1,,,,
,High school or GED,25%,2
,Some college, no degree,12%,1
,Associate's Degree,12%,1
,Bachelor's Degree,25%,2
,Graduate or Professional Degree,12%,1
,Totals,100%,8
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,33%,3,,,,
,1,33%,3
,2,11%,1
,3,11%,1
,4,11%,1
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,9
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,33%,3,,,,
,Somewhat familiar,0%,0
,Familiar,0%,0
,Not Familiar,67%,6
,Totals,100%,9
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,28%,35,,,,
,Education,32%,40
,Health,28%,35
,Quality of Life,12%,15
,Not aware of Any,0%,0
,Totals,100%,125
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,11%,1,,,,
,Education,89%,8
,Health,0%,0
,Quality of Life,0%,0
,Totals,100%,9
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,11%,1,,,,
,Income per Capita,11%,1
,People Living Below Poverty Level,56%,5
,Severe Housing Problems,22%,2
,Totals,100%,9
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,11%,1,,,,
,Reading on Grade Level,67%,6
,Student to Teacher Ratio,0%,0
,School Discipline,22%,2
,Totals,100%,9
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,0%,0,,,,
,Children with Health Insurance,22%,2
,Food Insecurity Rate,67%,6
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,11%,1
,Totals,100%,9
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,44%,4,,,,
,Workers Commuting by Public Transit,11%,1
,Miles of Safe, Pedestrian Friendly Transportation,22%,2
,Recidivism Rate of Adults Offenders,11%,1
,Recidivism Rate of Juvenile Offenders,11%,1
,Totals,100%,9
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,0%,0,,,,
,Income per Capita,33%,3
,People Living Below Poverty Level,67%,6
,Severe Housing Problems,0%,0
,Totals,100%,9
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,22%,2,,,,
,Reading on Grade Level,44%,4
,Student to Teacher Ratio,11%,1
,School Discipline,22%,2
,Totals,100%,9
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,11%,1,,,,
,Children with Health Insurance,33%,3
,Food Insecurity Rate,44%,4
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,11%,1
,Totals,100%,9
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,56%,5,,,,
,Workers Commuting by Public Transit,22%,2
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,11%,1
,Recidivism Rate of Juvenile Offenders,11%,1
,Totals,100%,9
