
,Session Name: 10-5-2017, 11-27 AM - Botanical Garden
,Date Created: 10/5/17, 9:53:34 AM,Active Participants: 15 of 15
,Average Score: 0.00%,Questions: 18
___________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,7%,1
,Port Wentworth,0%,0
,Savannah,47%,7
,Thunderbolt,7%,1
,Tybee,0%,0
,Unincorporated Chatham County,40%,6
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,15
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,7%,1
,30� to�44,20%,3
,45� to 59,60%,9
,60� to 74,13%,2
,75�years and older,0%,0
,Totals,100%,15
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,33%,5,,,,
,Male,67%,10
,Transgender,0%,0
,Totals,100%,15
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,47%,7,,,,
,Black or African American, non-Hispanic,53%,8
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,15
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,13%,2
,District 3 - Bobby Lockett,7%,1
,District 4 - Patrick Farrell,20%,3
,District 5 – Tabitha Odell,7%,1
,District 6 – Jay Jones,33%,5
,District 7 - Dean Kicklighter,20%,3
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,15
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,0%,0
,Some college, no degree,7%,1
,Associate's Degree,7%,1
,Bachelor's Degree,27%,4
,Graduate or Professional Degree,60%,9
,Totals,100%,15
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,57%,8,,,,
,1,21%,3
,2,7%,1
,3,7%,1
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,7%,1
,Totals,100%,14
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,43%,6,,,,
,Somewhat familiar,7%,1
,Familiar,14%,2
,Not Familiar,36%,5
,Totals,100%,14
,9. In your opinion, which priority area do you feel the community has made the biggest impact? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,31%,97,,,,
,Education,21%,65
,Health,20%,63
,Quality of Life,28%,89
,Totals,100%,314
,10. Which area could we consider making future improvements? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,7%,1,,,,
,Education,53%,8
,Health,13%,2
,Quality of Life,27%,4
,Totals,100%,15
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,54%,7,,,,
,Income per Capita,8%,1
,People Living Below Poverty Level,23%,3
,Severe Housing Problems,15%,2
,Totals,100%,13
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,7%,1,,,,
,Reading on Grade Level,57%,8
,Student to Teacher Ratio,21%,3
,School Discipline,14%,2
,Totals,100%,14
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,7%,1,,,,
,Children with Health Insurance,36%,5
,Food Insecurity Rate,36%,5
,Poor Mental Health Days,14%,2
,Access to Exercise Opportunities,7%,1
,Totals,100%,14
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,47%,7,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,7%,1
,Recidivism Rate of Juvenile Offenders,47%,7
,Totals,100%,15
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,21%,3,,,,
,Income per Capita,29%,4
,People Living Below Poverty Level,36%,5
,Severe Housing Problems,14%,2
,Totals,100%,14
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,14%,2,,,,
,Reading on Grade Level,57%,8
,Student to Teacher Ratio,29%,4
,School Discipline,0%,0
,Totals,100%,14
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,7%,1,,,,
,Children with Health Insurance,33%,5
,Food Insecurity Rate,20%,3
,Poor Mental Health Days,13%,2
,Access to Exercise Opportunities,27%,4
,Totals,100%,15
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,33%,5,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,7%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,60%,9
,Totals,100%,15
