
,Session Name: 10-9-2017, 7-31 PM Woodville Tompkins
,Date Created: 10/9/17, 6:01:31 PM,Active Participants: 12 of 12
,Average Score: 0.00%,Questions: 18
__________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,30%,3
,Port Wentworth,0%,0
,Savannah,70%,7
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,10
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,10%,1
,30� to�44,0%,0
,45� to 59,70%,7
,60� to 74,20%,2
,75�years and older,0%,0
,Totals,100%,10
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,64%,7,,,,
,Male,36%,4
,Transgender,0%,0
,Totals,100%,11
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,10%,1,,,,
,Black or African American, non-Hispanic,90%,9
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,10
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,27%,3
,District 8 – Chester Ellis,73%,8
,Outside Chatham County,0%,0
,Totals,100%,11
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,27%,3
,Some college, no degree,27%,3
,Associate's Degree,9%,1
,Bachelor's Degree,9%,1
,Graduate or Professional Degree,27%,3
,Totals,100%,11
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,82%,9,,,,
,1,18%,2
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,11
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,18%,2,,,,
,Somewhat familiar,18%,2
,Familiar,9%,1
,Not Familiar,55%,6
,Totals,100%,11
,9. In your opinion, which priority area do you feel the community has made the biggest impact? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,31%,34,,,,
,Education,18%,20
,Health,15%,17
,Quality of Life,36%,40
,Totals,100%,111
,10. Which area could we consider making future improvements? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,45%,5,,,,
,Education,9%,1
,Health,9%,1
,Quality of Life,36%,4
,Totals,100%,11
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,42%,5,,,,
,Income per Capita,17%,2
,People Living Below Poverty Level,42%,5
,Severe Housing Problems,0%,0
,Totals,100%,12
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,0%,0,,,,
,Reading on Grade Level,64%,7
,Student to Teacher Ratio,18%,2
,School Discipline,18%,2
,Totals,100%,11
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,9%,1,,,,
,Children with Health Insurance,36%,4
,Food Insecurity Rate,18%,2
,Poor Mental Health Days,18%,2
,Access to Exercise Opportunities,18%,2
,Totals,100%,11
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,60%,6,,,,
,Workers Commuting by Public Transit,10%,1
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,30%,3
,Totals,100%,10
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,27%,3,,,,
,Income per Capita,9%,1
,People Living Below Poverty Level,64%,7
,Severe Housing Problems,0%,0
,Totals,100%,11
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,11%,1,,,,
,Reading on Grade Level,67%,6
,Student to Teacher Ratio,11%,1
,School Discipline,11%,1
,Totals,100%,9
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,27%,3,,,,
,Children with Health Insurance,36%,4
,Food Insecurity Rate,9%,1
,Poor Mental Health Days,9%,1
,Access to Exercise Opportunities,18%,2
,Totals,100%,11
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,55%,6,,,,
,Workers Commuting by Public Transit,9%,1
,Miles of Safe, Pedestrian Friendly Transportation,9%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,27%,3
,Totals,100%,11
