
,Session Name: 11-13-2017, 7-24 PM - FINAL Mercer Middle
,Date Created: 11/13/17, 5:46:55 PM,Active Participants: 8 of 8
,Average Score: 0.00%,Questions: 18
______________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,60%,3
,Savannah,40%,2
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,5
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,20%,1
,45� to 59,40%,2
,60� to 74,20%,1
,75�years and older,20%,1
,Totals,100%,5
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,20%,1,,,,
,Male,80%,4
,Transgender,0%,0
,Totals,100%,5
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,80%,4,,,,
,Black or African American, non-Hispanic,20%,1
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,5
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,20%,1,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,20%,1
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,60%,3
,Outside Chatham County,0%,0
,Totals,100%,5
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,20%,1,,,,
,High school or GED,40%,2
,Some college, no degree,0%,0
,Associate's Degree,0%,0
,Bachelor's Degree,20%,1
,Graduate or Professional Degree,20%,1
,Totals,100%,5
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,100%,5,,,,
,1,0%,0
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,5
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,0%,0,,,,
,Somewhat familiar,40%,2
,Familiar,0%,0
,Not Familiar,60%,3
,Totals,100%,5
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,31%,20,,,,
,Education,15%,10
,Health,8%,5
,Quality of Life,0%,0
,Not aware of Any,46%,30
,Totals,100%,65
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,20%,1,,,,
,Education,40%,2
,Health,0%,0
,Quality of Life,40%,2
,Totals,100%,5
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,40%,2,,,,
,Income per Capita,20%,1
,People Living Below Poverty Level,20%,1
,Severe Housing Problems,20%,1
,Totals,100%,5
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,0%,0,,,,
,Reading on Grade Level,60%,3
,Student to Teacher Ratio,20%,1
,School Discipline,20%,1
,Totals,100%,5
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,40%,2,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,60%,3
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,0%,0
,Totals,100%,5
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,100%,5,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,0%,0
,Totals,100%,5
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,57%,4,,,,
,Income per Capita,29%,2
,People Living Below Poverty Level,14%,1
,Severe Housing Problems,0%,0
,Totals,100%,7
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,25%,2,,,,
,Reading on Grade Level,50%,4
,Student to Teacher Ratio,12%,1
,School Discipline,12%,1
,Totals,100%,8
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,38%,3,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,38%,3
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,25%,2
,Totals,100%,8
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,86%,6,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,14%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,0%,0
,Totals,100%,7
