
,Session Name: 11-14-2017, 2-32 PM - Port Wentworth FINAL
,Date Created: 11/14/17, 12:39:20 PM,Active Participants: 11 of 11
,Average Score: 0.00%,Questions: 19
_______________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,9%,1
,Port Wentworth,82%,9
,Savannah,0%,0
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,9%,1
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,11
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,0%,0
,45� to 59,30%,3
,60� to 74,70%,7
,75�years and older,0%,0
,Totals,100%,10
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,82%,9,,,,
,Male,18%,2
,Transgender,0%,0
,Totals,100%,11
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,82%,9,,,,
,Black or African American, non-Hispanic,18%,2
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,11
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,18%,2,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,18%,2
,District 8 – Chester Ellis,64%,7
,Outside Chatham County,0%,0
,Totals,100%,11
,6. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,22%,2,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,11%,1
,District 8 – Chester Ellis,67%,6
,Outside Chatham County,0%,0
,Totals,100%,9
,7. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,30%,3
,Some college, no degree,30%,3
,Associate's Degree,10%,1
,Bachelor's Degree,0%,0
,Graduate or Professional Degree,30%,3
,Totals,100%,10
,8. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,64%,7,,,,
,1,18%,2
,2,18%,2
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,11
,9. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,9%,1,,,,
,Somewhat familiar,0%,0
,Familiar,9%,1
,Not Familiar,82%,9
,Totals,100%,11
,10. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,21%,30,,,,
,Education,14%,20
,Health,25%,35
,Quality of Life,21%,30
,Not aware of Any,18%,25
,Totals,100%,140
,11. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,20%,2,,,,
,Education,20%,2
,Health,20%,2
,Quality of Life,40%,4
,Totals,100%,10
,12. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,40%,4,,,,
,Income per Capita,30%,3
,People Living Below Poverty Level,20%,2
,Severe Housing Problems,10%,1
,Totals,100%,10
,13. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,10%,1,,,,
,Reading on Grade Level,70%,7
,Student to Teacher Ratio,10%,1
,School Discipline,10%,1
,Totals,100%,10
,14. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,44%,4,,,,
,Children with Health Insurance,22%,2
,Food Insecurity Rate,33%,3
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,0%,0
,Totals,100%,9
,15. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,70%,7,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,20%,2
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,10%,1
,Totals,100%,10
,16. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,33%,3,,,,
,Income per Capita,44%,4
,People Living Below Poverty Level,11%,1
,Severe Housing Problems,11%,1
,Totals,100%,9
,17. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,20%,2,,,,
,Reading on Grade Level,70%,7
,Student to Teacher Ratio,0%,0
,School Discipline,10%,1
,Totals,100%,10
,18. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,40%,4,,,,
,Children with Health Insurance,40%,4
,Food Insecurity Rate,10%,1
,Poor Mental Health Days,0%,0
,Access to Exercise Opportunities,10%,1
,Totals,100%,10
,19. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,80%,8,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,20%,2
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,0%,0
,Totals,100%,10
