
,Session Name: 11-14-2017, 7-50 PM - Georgetown FINAL
,Date Created: 11/14/17, 5:51:08 PM,Active Participants: 31 of 31
,Average Score: 0.00%,Questions: 18
___________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,14%,4
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,86%,24
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,28
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,3%,1
,30� to�44,10%,3
,45� to 59,10%,3
,60� to 74,66%,19
,75�years and older,10%,3
,Totals,100%,29
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,59%,17,,,,
,Male,41%,12
,Transgender,0%,0
,Totals,100%,29
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,52%,15,,,,
,Black or African American, non-Hispanic,45%,13
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,3%,1
,Totals,100%,29
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,100%,29
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,29
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,14%,4
,Some college, no degree,21%,6
,Associate's Degree,21%,6
,Bachelor's Degree,21%,6
,Graduate or Professional Degree,24%,7
,Totals,100%,29
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,87%,26,,,,
,1,7%,2
,2,7%,2
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,30
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,7%,2,,,,
,Somewhat familiar,7%,2
,Familiar,7%,2
,Not Familiar,80%,24
,Totals,100%,30
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,38%,135,,,,
,Education,10%,35
,Health,15%,55
,Quality of Life,7%,25
,Not aware of Any,31%,110
,Totals,100%,360
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,23%,7,,,,
,Education,20%,6
,Health,3%,1
,Quality of Life,53%,16
,Totals,100%,30
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,30%,9,,,,
,Income per Capita,30%,9
,People Living Below Poverty Level,27%,8
,Severe Housing Problems,13%,4
,Totals,100%,30
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,20%,6,,,,
,Reading on Grade Level,47%,14
,Student to Teacher Ratio,27%,8
,School Discipline,7%,2
,Totals,100%,30
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,47%,14,,,,
,Children with Health Insurance,17%,5
,Food Insecurity Rate,30%,9
,Poor Mental Health Days,7%,2
,Access to Exercise Opportunities,0%,0
,Totals,100%,30
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,67%,20,,,,
,Workers Commuting by Public Transit,3%,1
,Miles of Safe, Pedestrian Friendly Transportation,3%,1
,Recidivism Rate of Adults Offenders,17%,5
,Recidivism Rate of Juvenile Offenders,10%,3
,Totals,100%,30
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,45%,13,,,,
,Income per Capita,28%,8
,People Living Below Poverty Level,21%,6
,Severe Housing Problems,7%,2
,Totals,100%,29
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,37%,10,,,,
,Reading on Grade Level,56%,15
,Student to Teacher Ratio,4%,1
,School Discipline,4%,1
,Totals,100%,27
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,52%,15,,,,
,Children with Health Insurance,7%,2
,Food Insecurity Rate,34%,10
,Poor Mental Health Days,7%,2
,Access to Exercise Opportunities,0%,0
,Totals,100%,29
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,76%,22,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,7%,2
,Recidivism Rate of Adults Offenders,7%,2
,Recidivism Rate of Juvenile Offenders,10%,3
,Totals,100%,29
