
,Session Name: 11-15-2017 7-20 PM
,Date Created: 11/15/17, 4:49:08 PM,Active Participants: 16 of 16
,Average Score: 0.00%,Questions: 18
_________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,71%,10
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,21%,3
,Vernonburg,7%,1
,Other,0%,0
,Totals,100%,14
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,0%,0
,45� to 59,31%,5
,60� to 74,56%,9
,75�years and older,12%,2
,Totals,100%,16
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,40%,6,,,,
,Male,53%,8
,Transgender,7%,1
,Totals,100%,15
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,73%,11,,,,
,Black or African American, non-Hispanic,20%,3
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,7%,1
,Other,0%,0
,Totals,100%,15
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,60%,9,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,7%,1
,District 5 – Tabitha Odell,7%,1
,District 6 – Jay Jones ,13%,2
,District 7 - Dean Kicklighter,7%,1
,District 8 – Chester Ellis,7%,1
,Outside Chatham County,0%,0
,Totals,100%,15
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,6%,1
,Some college, no degree,19%,3
,Associate's Degree,0%,0
,Bachelor's Degree,25%,4
,Graduate or Professional Degree,50%,8
,Totals,100%,16
,7. Indicate the number of children under the age of 18 living in your home.  (Multiple Choice)
,,Responses
,,Percent,Count
,0,88%,14,,,,
,1,6%,1
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,6%,1
,Totals,100%,16
,8. How familiar are you with the Chatham Community Blueprint?  (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,12%,2,,,,
,Somewhat familiar ,19%,3
,Familiar,19%,3
,Not Familiar,50%,8
,Totals,100%,16
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,22%,40,,,,
,Education,27%,50
,Health,11%,20
,Quality of Life,8%,15
,Not aware of Any,32%,60
,Totals,100%,185
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,19%,3,,,,
,Education,38%,6
,Health,6%,1
,Quality of Life,38%,6
,Totals,100%,16
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,50%,8,,,,
,Income per Capita,12%,2
,People Living Below Poverty Level,25%,4
,Severe Housing Problems,12%,2
,Totals,100%,16
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,36%,5,,,,
,Reading on Grade Level ,50%,7
,Student to Teacher Ratio,0%,0
,School Discipline ,14%,2
,Totals,100%,14
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,54%,7,,,,
,Children with Health Insurance,23%,3
,Food Insecurity Rate,0%,0
,Poor Mental Health Days,15%,2
,Access to Exercise Opportunities ,8%,1
,Totals,100%,13
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,62%,8,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,15%,2
,Recidivism Rate of Juvenile Offenders ,23%,3
,Totals,100%,13
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,42%,5,,,,
,Income per Capita,25%,3
,People Living Below Poverty Level,25%,3
,Severe Housing Problems,8%,1
,Totals,100%,12
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,15%,2,,,,
,Reading on Grade Level ,46%,6
,Student to Teacher Ratio,23%,3
,School Discipline ,15%,2
,Totals,100%,13
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,62%,8,,,,
,Children with Health Insurance,23%,3
,Food Insecurity Rate,0%,0
,Poor Mental Health Days,15%,2
,Access to Exercise Opportunities ,0%,0
,Totals,100%,13
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,92%,12,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders ,8%,1
,Totals,100%,13
