
,Session Name: 11-2-2017, 8-10 PM - Henderson FINAL
,Date Created: 11/2/17, 5:43:36 PM,Active Participants: 13 of 13
,Average Score: 0.00%,Questions: 18
_________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,42%,5
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,58%,7
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,12
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,8%,1,,,,
,20� to� 29,0%,0
,30� to�44,0%,0
,45� to 59,17%,2
,60� to 74,50%,6
,75�years and older,25%,3
,Totals,100%,12
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,33%,4,,,,
,Male,67%,8
,Transgender,0%,0
,Totals,100%,12
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,83%,10,,,,
,Black or African American, non-Hispanic,17%,2
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,12
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,75%,9
,District 6 – Jay Jones,25%,3
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,12
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,8%,1,,,,
,High school or GED,25%,3
,Some college, no degree,33%,4
,Associate's Degree,0%,0
,Bachelor's Degree,25%,3
,Graduate or Professional Degree,8%,1
,Totals,100%,12
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,75%,9,,,,
,1,8%,1
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,17%,2
,Totals,100%,12
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,0%,0,,,,
,Somewhat familiar,25%,3
,Familiar,8%,1
,Not Familiar,67%,8
,Totals,100%,12
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,38%,55,,,,
,Education,3%,5
,Health,0%,0
,Quality of Life,17%,25
,Not aware of Any,41%,60
,Totals,100%,145
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,25%,3,,,,
,Education,17%,2
,Health,25%,3
,Quality of Life,33%,4
,Totals,100%,12
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,55%,6,,,,
,Income per Capita,18%,2
,People Living Below Poverty Level,9%,1
,Severe Housing Problems,18%,2
,Totals,100%,11
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,9%,1,,,,
,Reading on Grade Level,36%,4
,Student to Teacher Ratio,36%,4
,School Discipline,18%,2
,Totals,100%,11
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,25%,3,,,,
,Children with Health Insurance,25%,3
,Food Insecurity Rate,25%,3
,Poor Mental Health Days,17%,2
,Access to Exercise Opportunities,8%,1
,Totals,100%,12
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,75%,9,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,8%,1
,Recidivism Rate of Juvenile Offenders,17%,2
,Totals,100%,12
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,44%,4,,,,
,Income per Capita,33%,3
,People Living Below Poverty Level,11%,1
,Severe Housing Problems,11%,1
,Totals,100%,9
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,0%,0,,,,
,Reading on Grade Level,40%,4
,Student to Teacher Ratio,50%,5
,School Discipline,10%,1
,Totals,100%,10
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,10%,1,,,,
,Children with Health Insurance,40%,4
,Food Insecurity Rate,30%,3
,Poor Mental Health Days,10%,1
,Access to Exercise Opportunities,10%,1
,Totals,100%,10
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,80%,8,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,20%,2
,Totals,100%,10
