
,Session Name: 11-21-2017, 12-21 PM - SSU FINAL
,Date Created: 11/21/17, 11:00:07 AM,Active Participants: 28 of 28
,Average Score: 0.00%,Questions: 18
_____________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,4%,1
,Port Wentworth,4%,1
,Savannah,67%,18
,Thunderbolt,11%,3
,Tybee,4%,1
,Unincorporated Chatham County,4%,1
,Vernonburg,0%,0
,Other,7%,2
,Totals,100%,27
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,7%,2,,,,
,20� to� 29,81%,22
,30� to�44,0%,0
,45� to 59,4%,1
,60� to 74,4%,1
,75�years and older,4%,1
,Totals,100%,27
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,37%,10,,,,
,Male,59%,16
,Transgender,4%,1
,Totals,100%,27
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,4%,1,,,,
,Black or African American, non-Hispanic,78%,21
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,4%,1
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,11%,3
,Other,4%,1
,Totals,100%,27
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,52%,14
,District 4 - Patrick Farrell,4%,1
,District 5 – Tabitha Odell,11%,3
,District 6 – Jay Jones,22%,6
,District 7 - Dean Kicklighter,4%,1
,District 8 – Chester Ellis,4%,1
,Outside Chatham County,4%,1
,Totals,100%,27
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,4%,1,,,,
,High school or GED,7%,2
,Some college, no degree,63%,17
,Associate's Degree,0%,0
,Bachelor's Degree,19%,5
,Graduate or Professional Degree,7%,2
,Totals,100%,27
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,74%,20,,,,
,1,7%,2
,2,7%,2
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,11%,3
,Totals,100%,27
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,0%,0,,,,
,Somewhat familiar,38%,10
,Familiar,4%,1
,Not Familiar,58%,15
,Totals,100%,26
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,43%,160,,,,
,Education,15%,55
,Health,17%,65
,Quality of Life,12%,45
,Not aware of Any,13%,50
,Totals,100%,375
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,25%,7,,,,
,Education,36%,10
,Health,14%,4
,Quality of Life,25%,7
,Totals,100%,28
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,43%,12,,,,
,Income per Capita,14%,4
,People Living Below Poverty Level,32%,9
,Severe Housing Problems,11%,3
,Totals,100%,28
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,41%,11,,,,
,Reading on Grade Level,30%,8
,Student to Teacher Ratio,19%,5
,School Discipline,11%,3
,Totals,100%,27
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,12%,3,,,,
,Children with Health Insurance,48%,12
,Food Insecurity Rate,24%,6
,Poor Mental Health Days,12%,3
,Access to Exercise Opportunities,4%,1
,Totals,100%,25
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,64%,18,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,11%,3
,Recidivism Rate of Adults Offenders,4%,1
,Recidivism Rate of Juvenile Offenders,21%,6
,Totals,100%,28
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,30%,7,,,,
,Income per Capita,30%,7
,People Living Below Poverty Level,30%,7
,Severe Housing Problems,9%,2
,Totals,100%,23
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,39%,9,,,,
,Reading on Grade Level,43%,10
,Student to Teacher Ratio,9%,2
,School Discipline,9%,2
,Totals,100%,23
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,4%,1,,,,
,Children with Health Insurance,62%,15
,Food Insecurity Rate,25%,6
,Poor Mental Health Days,4%,1
,Access to Exercise Opportunities,4%,1
,Totals,100%,24
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,75%,18,,,,
,Workers Commuting by Public Transit,4%,1
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,21%,5
,Totals,100%,24
