
,Session Name: 11-6-2017, 7-13 PM - SavHigh FINAL
,Date Created: 11/6/17, 5:36:15 PM,Active Participants: 9 of 9
,Average Score: 0.00%,Questions: 18
_______________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,0%,0
,Port Wentworth,0%,0
,Savannah,56%,5
,Thunderbolt,22%,2
,Tybee,0%,0
,Unincorporated Chatham County,0%,0
,Vernonburg,0%,0
,Other,22%,2
,Totals,100%,9
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,11%,1
,45� to 59,33%,3
,60� to 74,44%,4
,75�years and older,11%,1
,Totals,100%,9
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,56%,5,,,,
,Male,44%,4
,Transgender,0%,0
,Totals,100%,9
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,44%,4,,,,
,Black or African American, non-Hispanic,56%,5
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,0%,0
,Totals,100%,9
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,11%,1
,District 3 - Bobby Lockett,67%,6
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,22%,2
,Totals,100%,9
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,0%,0
,Some college, no degree,22%,2
,Associate's Degree,22%,2
,Bachelor's Degree,0%,0
,Graduate or Professional Degree,56%,5
,Totals,100%,9
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,56%,5,,,,
,1,11%,1
,2,11%,1
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,22%,2
,Totals,100%,9
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,33%,3,,,,
,Somewhat familiar,0%,0
,Familiar,11%,1
,Not Familiar,56%,5
,Totals,100%,9
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,39%,45,,,,
,Education,26%,30
,Health,9%,10
,Quality of Life,17%,20
,Not aware of Any,9%,10
,Totals,100%,115
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,11%,1,,,,
,Education,56%,5
,Health,22%,2
,Quality of Life,11%,1
,Totals,100%,9
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,22%,2,,,,
,Income per Capita,22%,2
,People Living Below Poverty Level,56%,5
,Severe Housing Problems,0%,0
,Totals,100%,9
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,11%,1,,,,
,Reading on Grade Level,44%,4
,Student to Teacher Ratio,33%,3
,School Discipline,11%,1
,Totals,100%,9
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,56%,5,,,,
,Children with Health Insurance,0%,0
,Food Insecurity Rate,22%,2
,Poor Mental Health Days,11%,1
,Access to Exercise Opportunities,11%,1
,Totals,100%,9
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,67%,6,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,11%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,22%,2
,Totals,100%,9
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,25%,2,,,,
,Income per Capita,25%,2
,People Living Below Poverty Level,50%,4
,Severe Housing Problems,0%,0
,Totals,100%,8
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,22%,2,,,,
,Reading on Grade Level,56%,5
,Student to Teacher Ratio,22%,2
,School Discipline,0%,0
,Totals,100%,9
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,44%,4,,,,
,Children with Health Insurance,11%,1
,Food Insecurity Rate,22%,2
,Poor Mental Health Days,22%,2
,Access to Exercise Opportunities,0%,0
,Totals,100%,9
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,33%,3,,,,
,Workers Commuting by Public Transit,11%,1
,Miles of Safe, Pedestrian Friendly Transportation,33%,3
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,22%,2
,Totals,100%,9
