
,Session Name: 11-7-2017, 7-32 PM - Hodge FINAL
,Date Created: 11/7/17, 5:30:28 PM,Active Participants: 15 of 15
,Average Score: 0.00%,Questions: 18
_____________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,7%,1
,Port Wentworth,0%,0
,Savannah,71%,10
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,14%,2
,Vernonburg,0%,0
,Other,7%,1
,Totals,100%,14
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,14%,2,,,,
,20� to� 29,0%,0
,30� to�44,14%,2
,45� to 59,7%,1
,60� to 74,57%,8
,75�years and older,7%,1
,Totals,100%,14
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,79%,11,,,,
,Male,21%,3
,Transgender,0%,0
,Totals,100%,14
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,14%,2,,,,
,Black or African American, non-Hispanic,71%,10
,American Indian and Alaska Native, non-Hispanic,7%,1
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,0%,0
,Other,7%,1
,Totals,100%,14
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,0%,0,,,,
,District 2 - James Holmes,0%,0
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,92%,12
,District 6 – Jay Jones,0%,0
,District 7 - Dean Kicklighter,0%,0
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,8%,1
,Totals,100%,13
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,14%,2,,,,
,High school or GED,0%,0
,Some college, no degree,7%,1
,Associate's Degree,14%,2
,Bachelor's Degree,14%,2
,Graduate or Professional Degree,50%,7
,Totals,100%,14
,7. Indicate the number of children under the age of 18 living in your home. (Multiple Choice)
,,Responses
,,Percent,Count
,0,77%,10,,,,
,1,8%,1
,2,0%,0
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,15%,2
,Totals,100%,13
,8. How familiar are you with the Chatham Community Blueprint? (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,0%,0,,,,
,Somewhat familiar,23%,3
,Familiar,8%,1
,Not Familiar,69%,9
,Totals,100%,13
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,17%,30,,,,
,Education,17%,30
,Health,23%,40
,Quality of Life,6%,10
,Not aware of Any,37%,65
,Totals,100%,175
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,38%,5,,,,
,Education,54%,7
,Health,0%,0
,Quality of Life,8%,1
,Totals,100%,13
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,7%,1,,,,
,Income per Capita,29%,4
,People Living Below Poverty Level,57%,8
,Severe Housing Problems,7%,1
,Totals,100%,14
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,7%,1,,,,
,Reading on Grade Level,50%,7
,Student to Teacher Ratio,29%,4
,School Discipline,14%,2
,Totals,100%,14
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,38%,5,,,,
,Children with Health Insurance,23%,3
,Food Insecurity Rate,31%,4
,Poor Mental Health Days,8%,1
,Access to Exercise Opportunities,0%,0
,Totals,100%,13
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,64%,9,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,14%,2
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,21%,3
,Totals,100%,14
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,21%,3,,,,
,Income per Capita,36%,5
,People Living Below Poverty Level,29%,4
,Severe Housing Problems,14%,2
,Totals,100%,14
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,20%,3,,,,
,Reading on Grade Level,33%,5
,Student to Teacher Ratio,20%,3
,School Discipline,27%,4
,Totals,100%,15
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,7%,1,,,,
,Children with Health Insurance,43%,6
,Food Insecurity Rate,29%,4
,Poor Mental Health Days,7%,1
,Access to Exercise Opportunities,14%,2
,Totals,100%,14
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,53%,8,,,,
,Workers Commuting by Public Transit,7%,1
,Miles of Safe, Pedestrian Friendly Transportation,7%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders,33%,5
,Totals,100%,15
