
,Session Name: Savannah Tech - District 7 - FINAL 10-30-2017
,Date Created: 10/30/17, 11:07:37 AM,Active Participants: 7 of 7
,Average Score: 0.00%,Questions: 18
__________________________________________________________________________________________
 Results by Question
,1. Where do you live? (Multiple Choice)
,,Responses
,,Percent,Count
,Bloomingdale,0%,0,,,,
,Garden City,0%,0
,Pooler,29%,2
,Port Wentworth,0%,0
,Savannah,43%,3
,Thunderbolt,0%,0
,Tybee,0%,0
,Unincorporated Chatham County,29%,2
,Vernonburg,0%,0
,Other,0%,0
,Totals,100%,7
,2. Select Your Age Category (Multiple Choice)
,,Responses
,,Percent,Count
,0� to 19,0%,0,,,,
,20� to� 29,0%,0
,30� to�44,0%,0
,45� to 59,57%,4
,60� to 74,29%,2
,75�years and older,14%,1
,Totals,100%,7
,3. What is your Gender? (Multiple Choice)
,,Responses
,,Percent,Count
,Female,57%,4,,,,
,Male,43%,3
,Transgender,0%,0
,Totals,100%,7
,4. What is your Race? (Multiple Choice)
,,Responses
,,Percent,Count
,White, Non-Hispanic,71%,5,,,,
,Black or African American, non-Hispanic,14%,1
,American Indian and Alaska Native, non-Hispanic,0%,0
,Asian, non-Hispanic,0%,0
,Native Hawaiian and Other Pacific Islander, non-Hispanic,0%,0
,Hispanic,14%,1
,Other,0%,0
,Totals,100%,7
,5. Place of Residency (Map) (Multiple Choice)
,,Responses
,,Percent,Count
,District 1 -Helen Stone,14%,1,,,,
,District 2 - James Holmes,14%,1
,District 3 - Bobby Lockett,0%,0
,District 4 - Patrick Farrell,0%,0
,District 5 – Tabitha Odell,0%,0
,District 6 – Jay Jones ,0%,0
,District 7 - Dean Kicklighter,71%,5
,District 8 – Chester Ellis,0%,0
,Outside Chatham County,0%,0
,Totals,100%,7
,6. Education Level (Multiple Choice)
,,Responses
,,Percent,Count
,Less-Than high school,0%,0,,,,
,High school or GED,0%,0
,Some college, no degree,29%,2
,Associate's Degree,0%,0
,Bachelor's Degree,43%,3
,Graduate or Professional Degree,29%,2
,Totals,100%,7
,7. Indicate the number of children under the age of 18 living in your home.  (Multiple Choice)
,,Responses
,,Percent,Count
,0,71%,5,,,,
,1,14%,1
,2,14%,1
,3,0%,0
,4,0%,0
,5,0%,0
,6,0%,0
,7,0%,0
,8,0%,0
,9+,0%,0
,Totals,100%,7
,8. How familiar are you with the Chatham Community Blueprint?  (Multiple Choice)
,,Responses
,,Percent,Count
,Very familiar,14%,1,,,,
,Somewhat familiar ,43%,3
,Familiar,29%,2
,Not Familiar,14%,1
,Totals,100%,7
,9. In your opinion which two priority areas have seen the greatest improvement within the past two years? (Priority Ranking)
,,Responses
,,Percent,Weighted Count
,Economy,32%,34,,,,
,Education,7%,7
,Health,10%,10
,Quality of Life,23%,24
,Not aware of Any,29%,30
,Totals,100%,105
,10. Which area do you consider to be the most important to improve community well-being? (Multiple Choice)
,,Responses
,,Percent,Count
,Economy,17%,1,,,,
,Education,33%,2
,Health,0%,0
,Quality of Life,50%,3
,Totals,100%,6
,11. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,57%,4,,,,
,Income per Capita,29%,2
,People Living Below Poverty Level,0%,0
,Severe Housing Problems,14%,1
,Totals,100%,7
,12. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,29%,2,,,,
,Reading on Grade Level ,29%,2
,Student to Teacher Ratio,14%,1
,School Discipline ,29%,2
,Totals,100%,7
,13. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,29%,2,,,,
,Children with Health Insurance,14%,1
,Food Insecurity Rate,43%,3
,Poor Mental Health Days,14%,1
,Access to Exercise Opportunities ,0%,0
,Totals,100%,7
,14. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,43%,3,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,0%,0
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders ,57%,4
,Totals,100%,7
,15. ECONOMY (Multiple Choice)
,,Responses
,,Percent,Count
,Unemployment,14%,1,,,,
,Income per Capita,57%,4
,People Living Below Poverty Level,29%,2
,Severe Housing Problems,0%,0
,Totals,100%,7
,16. EDUCATION (Multiple Choice)
,,Responses
,,Percent,Count
,High School Graduation Rate,43%,3,,,,
,Reading on Grade Level ,14%,1
,Student to Teacher Ratio,14%,1
,School Discipline ,29%,2
,Totals,100%,7
,17. HEALTH (Multiple Choice)
,,Responses
,,Percent,Count
,Adults with Health Insurance,29%,2,,,,
,Children with Health Insurance,29%,2
,Food Insecurity Rate,14%,1
,Poor Mental Health Days,14%,1
,Access to Exercise Opportunities ,14%,1
,Totals,100%,7
,18. QUALITY of LIFE (Multiple Choice)
,,Responses
,,Percent,Count
,Violent Crime Rate,29%,2,,,,
,Workers Commuting by Public Transit,0%,0
,Miles of Safe, Pedestrian Friendly Transportation,14%,1
,Recidivism Rate of Adults Offenders,0%,0
,Recidivism Rate of Juvenile Offenders ,57%,4
,Totals,100%,7
